slang_sentence,normal_sentence,slang_term,tone,difficulty,is_hard_negative
"You're the real OJ, always lowkey hyping me up","You're the real one, always quietly supporting me",OJ,affectionate,edge,False
"You're being super TBL about this, can't you just talk to me","You're being too bothered to listen about this, can't you just talk to me",TBL,annoyed,edge,False
EYC I just spilled coffee all over my shirt,"Ugh, I just spilled coffee all over my shirt",EYC,annoyed,clear,False
I just got RX'd by my ex in front of everyone,I just got rejected by my ex in front of everyone,RX,dramatic,clear,False
The main plot of the story is so fire,The main plot of the story is very exciting,Main Plot,dramatic,clear,True
"I'm so excited to do homework, NADT","I'm not actually doing that, I'm just saying it to sound cooperative",NADT,sarcastic,edge,False
My big sis is RHIP so she gets the aux,My big sister is in charge so she gets to control the music,RHIP,playful,clear,False
"You're my notification ping, I get butterflies every time I see your name",You're the one I get excited to hear from,Notification Ping,playful,ambiguous,False
"This drop is RTRMT, can't wait to cop it","This release is really the real deal, can't wait to buy it",RTRMT,hype,ambiguous,False
"I'll be late, no need to wait, ILBL8","I will arrive after the expected time, do not wait for me",ILBL8,deadpan,edge,False
Dude just used a minigun in a sniper match OK boomer,"That guy is ridiculously using a minigun in a sniper match, which is outdated thinking",OK boomer,hype,clear,False
You're doing YCLIU by posting that again,"You're doing you, completely ignoring us by posting that again",YCLIU,annoyed,ambiguous,False
I'm lowkey obsessed with you btw,"I have a strong but subtle obsession with you, by the way",BTW,chill,clear,False
LMAO you're the best for posting this,"I'm laughing out loud, you're amazing for sharing this",LMAO,affectionate,ambiguous,False
"Great advice, DYFI and see how that works out","Great advice, do you follow your own advice and see how that works out",DYFI,sarcastic,ambiguous,False
I'm gonna crash out after this exam,I'm going to fall asleep immediately after this exam,Crash Out,deadpan,ambiguous,False
I'm meeting the SK8RBOI who fell off his board,I'm meeting the skateboarder who fell off his board,SK8RBOI,sarcastic,ambiguous,True
I'm lowkey studying the SYL of this ancient tree,I'm secretly studying the style of this ancient tree,SYL,dramatic,ambiguous,True
You're so goofy I'm low-key obsessed,You're really funny and I'm secretly obsessed with you,goofy,hype,clear,False
I just met my Twin Flame at the mall food court,I just met someone incredibly similar to me at the mall food court,Twin Flame,sarcastic,ambiguous,False
I'm getting destroyed but BBIAM I'm still gonna clutch this.,I'm getting destroyed but I'm definitely going to somehow win this.,BBIAM,hype,ambiguous,False
You're such a GGE1 for sharing this,You're such a good game editor for sharing this,GGE1,affectionate,edge,False
"This post is hagn, no one asked for your opinion","This post is annoying, no one asked for your opinion",HAGN,deadpan,ambiguous,False
YHBT we just scored tickets to Billie Eilish,"You have been trolled, we actually didn't get tickets to Billie Eilish",YHBT,hype,ambiguous,False
"no cap, that demo was a dry run",the demonstration was a practice exercise with no actual implementation,Dry Run,affectionate,edge,True
Lowkey having battery anxiety about my phone dying,I am slightly worried that my phone's battery will run out,Battery Anxiety,playful,edge,False
Dude the party had a major vibe shift when the cops showed up,The party's atmosphere changed completely when the police arrived,Vibe Shift,dramatic,ambiguous,False
I'm at inbox zero with your excuses,I have had enough of your excuses,Inbox Zero,annoyed,clear,False
I just got BF2 by my ex again,I just got betrayed by my ex again,BF2,sarcastic,clear,False
You're such a dam for saving me from that gank,You're such a lifesaver for saving me from that ambush,DAM,affectionate,edge,False
"Great advice, now I've got the open road to fail without any guidance","Great advice, now I have complete freedom to make mistakes without any help",Open Road,sarcastic,ambiguous,False
"That new activist is such an SJW, totally fighting for the cause!","That new activist is a social justice warrior, totally fighting for the cause!",SJW,hype,clear,False
I'm literally shaking because I just saw my OB walking down the hallway,I'm extremely nervous because I just saw my obsessive boyfriend walking down the hallway,OB,dramatic,clear,False
"This party is L2K, just a bunch of people standing around","This party is lame, just a bunch of people standing around",L2K,deadpan,ambiguous,False
"Haters gonna hate, kys","Haters are going to hate, go kill yourself",KYS,chill,clear,False
That respawn was total foreshadowing you were gonna get picked,That respawn was a clear sign you were going to get killed,Foreshadowing,affectionate,clear,False
"That new game is ong, I'm lowkey addicted","That new game is extremely good, I'm secretly addicted",ong,chill,clear,False
I'm high-key looking at the ladder on the wall,I am openly and obviously examining the ladder on the wall,High-Key,affectionate,ambiguous,True
I'm lowkey salty about the no-scopes,The underconsumption of health packs is making our team struggle in this match,Underconsumption,deadpan,clear,True
"You just did a trust fall with that take, totally out of touch",Your opinion is completely unreasonable and lacks common sense,Trust Fall,annoyed,edge,False
I just got destroyed by a noob bruh,I just got defeated by a beginner in a surprising manner,Bruh,dramatic,clear,False
I'm DBAU about the new movie,I'm genuinely excited about the new movie,DBAU,deadpan,ambiguous,False
This post is straight fire and brings back core memory vibes,This post is excellent and reminds me of fond childhood memories,Core Memory,affectionate,edge,False
"Great advice, thanks for sharing, T:)T","Great advice, thanks for sharing, totally not helpful at all",T:)T,sarcastic,clear,False
I'm trying to study but you're posting YOLO vacation pics,I am trying to study but you are posting reckless vacation pictures,YOLO,annoyed,ambiguous,False
I'm unfollowing the drama between them,I'm ignoring the conflict between them,Unfollowing,annoyed,clear,False
"You're lowkey fire, watch out, I'm gonna ask you out","You're really attractive, I'm going to ask you out",Watch Out,chill,clear,False
I'm going to the movies w/o my squad,I'm going to the movies without my friends,W/O,deadpan,ambiguous,False
You're yelling at me for nothing YYSSW,You're yelling at me for nothing and it's so whack,YYSSW,dramatic,clear,False
I'm so CSS about our team's strategy,I'm extremely frustrated about our team's strategy,CSS,deadpan,clear,False
This aesthetic is giving me total Fairycore vibes,This style is completely evoking a whimsical and romantic atmosphere,Fairycore,dramatic,ambiguous,False
BGWM just dropped the most basic gaming setup,The best gamer in the world just revealed a really unimpressive gaming setup,BGWM,sarcastic,ambiguous,False
I just found out my fave artist is touring and TILIS I'm definitely going,I just found out my favorite artist is touring and that's literally the icing on my life,TILIS,dramatic,clear,False
You're going top speed with that smile,Your smile is incredibly charming and attractive,Top Speed,affectionate,ambiguous,False
I'm in high spirits after acing that exam,I'm feeling very happy and optimistic after passing that test,High Spirits,chill,clear,False
"You're being super slow to respond, jja","You're being really slow to respond, seriously",JJA,annoyed,ambiguous,False
You're being super extra MTF about the new policy,You're being overly dramatic and excessively upset about the new policy,MTF,annoyed,clear,False
You're lowkey the best OVA here,You're secretly the best one over here,OVA,affectionate,edge,False
You're lowkey a ban for making me feel all giddy inside,You're kind of amazing for making me feel really happy and nervous,Ban,affectionate,edge,False
"Stop sliding into my DMs FYEO, I'm busy","Stop sending me private messages for your eyes only, I'm busy",FYEO,annoyed,edge,False
You're lowkey fire and I'm WOA about it,You're secretly amazing and I'm completely overwhelmed by it,WOA,deadpan,clear,False
I just got destroyed by a noob and it was a total GOL,I just got defeated by a beginner and it was a complete embarrassment,GOL,playful,clear,False
This old video game is core mood,This old video game perfectly captures my current emotional state,Core Mood,playful,edge,False
"This noob's strategy is so extra, totally SUITM for a toxic player",This beginner's strategy is inappropriate for a hostile player,SUITM,chill,ambiguous,False
I saw your post on BookTok,I saw your book review on TikTok,BookTok,deadpan,ambiguous,False
I'm lowkey salty they invited EM to the party and not me,I'm secretly upset they invited them to the party and not me,EM,dramatic,edge,False
I'm lowkey nervous but I think you're cool on god,I'm a little nervous but I think you're cool and I'm being honest,On god,chill,clear,False
I'm lowkey excited for the AWC tournament,I'm slightly excited for the American Wrestling Council tournament,AWC,playful,clear,True
That new vid is lowkey fire itam,That new video is secretly very good in my opinion,ITAM,chill,edge,False
I'm such a completionist I need to watch every episode,I need to watch every episode to feel satisfied,Completionist,chill,clear,False
I'm locked in on this math homework and I'm so over it,I am completely focused on this math homework and I am very annoyed,locked in,annoyed,ambiguous,False
You're VGC and I'm lowkey excited to see you tomorrow,You're very good company and I'm secretly excited to see you tomorrow,VGC,deadpan,clear,False
I need a T4BU to fix my car,I need a table for beginners to understand to fix my car,T4BU,affectionate,clear,True
You're the best SWAK,"You're the best, sealed with a kiss",SWAK,affectionate,edge,False
I love watching you do your Hot Girl Walk around campus,I love watching you confidently walk around campus,Hot Girl Walk,affectionate,clear,False
I'm so extra today Mom,"I'm being overly dramatic today, honestly",Mom,deadpan,clear,False
You're so drip I forgot to breathe,You're extremely attractive and I'm completely caught off guard,so drip,deadpan,ambiguous,False
I need to beat your face with this new makeup brush,I need to apply makeup to your face with this new brush,Beat your face,chill,ambiguous,True
I just saw my BFG crush walking down the hall,I just saw the person I have a huge crush on walking down the hall,BFG,deadpan,ambiguous,False
I need you to text me back RSN,I need you to text me back right now,RSN,hype,ambiguous,False
Lowkey got a strong signal this new artist is about to blow up,I quietly have a strong feeling this new artist is about to become very popular,Strong Signal,chill,edge,False
You're being so unserious about us,You're not taking our relationship seriously,Unserious,playful,ambiguous,False
You're putting me on offline mode with your mixed signals,You're confusing me with your mixed signals and not being clear,Offline Mode,annoyed,edge,False
You're such a pick me girl for always defending him,You always defend him so eagerly,Pick me girl,affectionate,ambiguous,False
This new video game is BOM,This new video game is extremely good,BOM,chill,clear,False
I've been glazing over my ex's posts all day,I've been mindlessly scrolling through my ex's social media posts all day,glazing,dramatic,clear,False
You're taking our vibe to the next level tonight,You're making our relationship much more exciting and intense tonight,Next Level,dramatic,clear,False
"This drop is MRT, I need it now","This release is mentally ready to trend, I need it now",MRT,hype,clear,False
You got GB for trying to clutch that,You deserve respect for trying to win that difficult game,GB,playful,ambiguous,False
He's got pink flags all over his profile,There are many warning signs in his online profile that suggest he's untrustworthy,Pink flags,dramatic,edge,False
I'm low-key hyped to meet you F2F soon,I'm quietly excited to meet you in person soon,F2F,hype,clear,False
AAMOF I'm just gonna stay home and play video games,"Actually, I'm just going to stay home and play video games",AAMOF,deadpan,clear,False
"We just got destroyed by the noobs we beat last match, what a full circle","We just got defeated by the beginners we previously beat, which is ironic",Full Circle,playful,clear,False
You got the W with that new haircut,"You won or succeeded with that new haircut, it looks great on you",W,affectionate,ambiguous,False
Does anyone eat the free pizza in the break room?,Does anyone eat the free pizza in the break room?,DAE,deadpan,clear,True
I'm lowkey freaking out EM is coming over tonight,I'm secretly freaking out because my enemy is coming over tonight,EM,dramatic,ambiguous,False
I just clutched that 1v3 with super style,I just won that one against three opponents with exceptional skill,super style,dramatic,ambiguous,False
"This game is so JV, I'm shocked they didn't lose","This game is so poorly played, I'm shocked they didn't lose",JV,dramatic,clear,False
You're doing great UR2YS4ME,You're really not doing well at all,UR2YS4ME,sarcastic,clear,False
"You need a reality check, you're perfect","You should realize, you are perfect",Reality Check,affectionate,clear,False
This new gaming headset is the Next Big Thing,This new gaming headset is the most exciting and popular thing right now,Next Big Thing,playful,edge,False
That player's movements are sus,That player's movements seem suspicious,sus,deadpan,clear,False
I'm lowkey hungover so I'm fit spo for the gym,I'm somewhat hungover so I'm not suitable for the gym,Fit Spo,deadpan,edge,False
I'm lowkey excited it's finally Glow Season,I'm slightly excited it's finally the best time of year,Glow Season,deadpan,clear,False
Dude just noise cancel the whole team they're so toxic,Dude just ignore the whole team they're really annoying,Noise Cancel,chill,ambiguous,False
You threw a sneak diss at my fit last night,You made a subtle insult about my outfit last night,Sneak Diss,chill,clear,False
"I'm low-key missing you, can you FaceTime me later","I'm quietly missing you, can we video call later",FaceTime,affectionate,clear,False
I just spent all day playing games and I'm such a derp for forgetting dinner,I just spent all day playing games and I'm foolish for forgetting dinner,DERP,playful,clear,False
This party is DNC so I'm staying home,This party is do not care so I'm staying home,DNC,deadpan,clear,False
You were my turn point in high school,You were the person who changed my life for the better in high school,Turn Point,affectionate,clear,False
"This game is total Simulation Theory, right?","This game feels incredibly realistic, doesn't it?",Simulation Theory,chill,clear,False
Shoutout to you for finally posting something interesting,Thanks for finally posting something worth reading,Shoutout,sarcastic,edge,False
I'm lowkey salty you got tickets to the festival THT,I'm secretly upset you got tickets to the festival that everyone is talking about,THT,playful,edge,False
I'll be thinking of u 2moro,I will be thinking of you tomorrow,2MORO,dramatic,clear,False
We will play this game 4EVA because the new DLC has a four-ever changing landscape,We will play this game forever because the new DLC has a forever changing landscape,4EVA,deadpan,ambiguous,True
I'm booking a flight to Tokyo because you only live once,I'm booking a flight to Tokyo because you only live once,YOLO,chill,ambiguous,True
I'm outta here 88,"I'm leaving now, goodbye",88,playful,ambiguous,False
I had to SorG my grandma's attic and found old trunks,I had to sort my grandma's attic and found old trunks,SorG,dramatic,edge,True
DILLIGAF about your opinion on the new movie,I do not care about your opinion on the new movie,DILLIGAF,deadpan,clear,False
I'm buying those new kicks on sight,I'm buying those new shoes as soon as I see them,On Sight,hype,clear,False
"Ugh, I had to deal with my lil bro all day, what a GGOH","Ugh, I had to deal with my little brother all day, what an annoyance",GGOH,annoyed,ambiguous,False
"This party is going to be AO, can't wait to see you there!","This party is going to be amazing, can't wait to see you there!",AO,hype,clear,False
"This homework is 4NR, can't wait to do it","This homework is for no reason, can't wait to do it, not",4NR,sarcastic,clear,False
"You're a total Bright Mind, can't stop thinking about you","You're really smart, can't stop thinking about you",Bright Mind,playful,clear,False
"Dude, that sick no-scope was archived by the whole team instantly",That amazing shot was immediately recorded and saved by the entire team,Archived,hype,ambiguous,False
I'm trying to fix the AOYP on my bike,I'm trying to fix the area of outer yawning possibility on my bike,AOYP,sarcastic,edge,True
I just got destroyed by a no-scope and I'm DBAU,I just got destroyed by a no-scope and I'm done playing for now,DBAU,dramatic,edge,False
OMGYG2BK you're so cute,"Oh my god you've got to be kidding, you're so cute",OMGYG2BK,affectionate,clear,False
Just gave my bae a balance check,I just checked in on my significant other to see how they're doing,Balance Check,affectionate,clear,False
The firefighter was wylin with the hose to put out the flames,The firefighter was going wild with the hose to put out the flames,Wylin,dramatic,edge,True
You need to rebrand yourself after that fail,You need to change your image after that mistake,Rebrand Yourself,chill,clear,False
I'm dying over here WIU this is the most iconic post ever,"I am extremely amused and this is the most iconic post ever, whatever it is",WIU,dramatic,clear,False
"This new drop is BTA, you need to cop it now","This new release is better than average, you need to buy it now",BTA,hype,clear,False
I just got a severe case of OMS from eating that spicy burrito,I just got a severe case of Osteomyelitis from eating that spicy burrito,OMS,affectionate,clear,True
You're making money moves without me again,You're making profitable decisions without including me again,Money Moves,annoyed,clear,False
UHGTBSM I just saw my crush with someone else,You have got to be seriously messing with me I just saw my crush with someone else,UHGTBSM,dramatic,clear,False
You're lowkey my favorite person and we move no matter what,You're secretly my favorite person and we support each other no matter what,We Move,affectionate,edge,False
This rainy day is big mood,This rainy day perfectly captures my current emotional state,Big Mood,deadpan,ambiguous,False
The locomotive is the hype train for the festival,The locomotive is the exciting train for the festival,Hype Train,annoyed,clear,True
This traffic is peak time,This traffic is extremely frustrating,Peak Time,annoyed,clear,False
I'm lowkey experiencing zoom fatigue after hours of online classes,I am feeling extremely tired after spending hours in virtual meetings,Zoom Fatigue,chill,ambiguous,False
"This party is gonna be 2N8, everyone's gonna be there","This party is going to be too late, everyone is going to be there",2N8,dramatic,clear,False
"You're so extra, I'm ROFLMAO just thinking about you","You're so funny, I'm laughing out loud just thinking about you",ROFLMAO,affectionate,clear,False
"If you're coming to the party, LMK","If you're coming to the party, let me know",LMK,deadpan,clear,False
I'm lowkey struggling to find my Inner Fire for this project,I'm quietly having trouble finding my passion for this project,Inner Fire,chill,edge,False
You are OTFL and I love your post,You are outrageously funny and I love your post,OTFL,affectionate,clear,False
"That new gamer is so EWG, always rage quitting","That new gamer is extremely whiny, always rage quitting",EWG,playful,edge,False
Just found my Inner Fire and I'm crushing this exam season,I just found my internal motivation and I'm doing really well on my exams,Inner Fire,hype,edge,False
"I'm so done with this homework, it's KIA","I'm so done with this homework, it's killed in action or totally ruined",KIA,deadpan,clear,False
"Just got ghosted again, btdt","Just got ghosted again, been there done that",BTDT,chill,edge,False
"I just got destroyed by a no scope, what a PZA","I just got destroyed by a long shot, what a painful zoning accident",PZA,playful,ambiguous,False
We're going all out tonight WWYC,"We're going all out tonight, what's wrong with you",WWYC,hype,clear,False
you're lowkey cute k/b,"you're kind of cute, to be honest",k/b,playful,ambiguous,False
You're so level headed for handling that drama without losing it,You're very calm and sensible for dealing with that situation without getting upset,Level Headed,dramatic,clear,False
Meeting up later is TBD,Meeting up later has not been decided yet,TBD,deadpan,clear,False
"I'm doing a soft reboot tonight, aka binge watching Netflix alone",I'm spending the evening alone at home watching television,Soft Reboot,sarcastic,clear,False
"You just asked my ex out, big yikes","You just asked my ex out, that's really bad and uncomfortable",Big Yikes,hype,edge,False
I'm gonna respawn my whole day after this raid,I'm going to start my day over after this gaming session,Respawn,deadpan,ambiguous,False
"You're such a red pill, always telling me the harsh truth","You're such a honest friend, always telling me the harsh truth",Red Pill,affectionate,clear,False
MGMT just dropped and it's straight fire,The management team has just made an exciting announcement,MGMT,hype,ambiguous,False
"Nice try noob, see you TAFN","Nice try novice, I will see you when I feel like it, not anytime soon",TAFN,sarcastic,ambiguous,False
I'm ghosting this convo GNITE,I'm leaving this conversation for the night,GNITE,dramatic,ambiguous,False
You're taking this conversation to the fast lane with all these extra questions,You're overcomplicating this conversation with too many unnecessary questions,Fast Lane,annoyed,ambiguous,False
Thanks for showing up late TYSO,Thanks for showing up late to your own situation,TYSO,sarcastic,clear,False
"You're taking a side path with this post, but I'm here for it","You're going off topic with this post, but I still support you",Side Path,affectionate,ambiguous,False
You're always on my main feed,I often think about you and see your posts,Main Feed,chill,ambiguous,False
"YHBT, I just got destroyed in this raid","You have been terminated, I just got destroyed in this raid",YHBT,hype,ambiguous,True
Your post gave me major Echo Effect,Your post really resonated with me and stuck in my head,Echo Effect,affectionate,ambiguous,False
My vision board is manifesting a lit summer,I have a clear plan for an amazing summer,Vision Board,dramatic,clear,False
This party is lit imo,This party is supposedly fun in my opinion,imo,sarcastic,ambiguous,False
I got receipts check on him trying to cheat,I have proof that he tried to cheat on me,Receipts Check,playful,edge,False
I'm OATUS after binge-watching my favorite show,I'm out of time and space after binge-watching my favorite show,OATUS,chill,clear,False
"I just got an A on that exam, what a total shred","I just got an A on that exam, what a complete disaster or failure, not at all",Shred,sarcastic,clear,False
This noob is AOTA again,This beginner is ahead of the average player again,AOTA,annoyed,clear,False
This no-scope is smol but I just clutched the whole game,This shot was small but I just won the entire game,Smol,hype,ambiguous,False
This new video game is NFWS for my productivity,This new video game is not fit for work or school for my productivity,NFWS,playful,ambiguous,False
I'm experiencing major CFS after binge-watching that show,I'm extremely tired after binge-watching that show,CFS,deadpan,clear,False
"I'm a blank slate for the weekend, what's poppin","I have no plans for the weekend, what's happening",Blank Slate,chill,edge,False
I'm lowkey salty WRT your new gaming setup,I am slightly upset about your new gaming setup,WRT,affectionate,edge,False
I'm having a major creative block with this TikTok vid,I'm completely out of ideas for this TikTok video,Creative Block,deadpan,edge,False
"Watch out, I'm actually going to study for this test",I'm surprisingly going to put in effort for this test,Watch Out,sarcastic,clear,False
Just got the latest tea and I'm due for a System Update,I just heard the newest gossip and I need to update my knowledge,System Update,hype,clear,False
I'm so pressed you finally showed up,I'm extremely annoyed you arrived so late,pressed,sarcastic,ambiguous,False
Your comeback is the ultimate Growth Arc,Your recovery is the most impressive transformation,Growth Arc,dramatic,clear,False
I'm lowkey busy today but NW I can meet you tonight,I'm quietly busy today but I'm free now so I can meet you tonight,NW,chill,clear,False
"I'm NMH about the loss, let's just retry","I'm not mad here, let's just retry",NMH,chill,edge,False
I'm getting brain freeze thinking about asking you out,I'm getting nervous thinking about asking you out,Brain Freeze,chill,ambiguous,False
I'm dead TU the new album drop,I'm extremely excited about the new album release,TU,dramatic,clear,False
You just posted the same thing three times LOLWTF,"You just posted the same thing three times, what is wrong with you",LOLWTF,annoyed,clear,False
Wanna meet IRL and see if we vibe MIRL too,Want to meet in person and see if we get along in real life as well,MIRL,playful,clear,False
"Dude, take a chill pill, I'm just joking","Calm down, I was just kidding",Chill Pill,sarcastic,clear,False
The fireworks are gonna come alive when we win this raid,The fireworks are going to start working when we win this raid,Come Alive,annoyed,clear,True
You're benching me hard,You're keeping me as an option without making a commitment,Benching,affectionate,ambiguous,False
My brother is such a KOC for eating all the leftovers,My brother is such a king of chaos for eating all the leftovers,KOC,deadpan,clear,False
You're going viral SUYF that new gaming clip is insane,You're going viral see you up front that new gaming clip is insane,SUYF,hype,clear,False
You're a real 459 for helping me move,You're a true friend for helping me move,459,affectionate,edge,False
I hope the graphics library 2 you is helpful,I hope the graphics library 2 you is helpful,GL2U,dramatic,clear,True
I'm so tired of doing JP on this math homework,I'm so tired of doing jealousy-proofing on this math homework,JP,sarcastic,clear,False
I'm lowkey hungover but that party was BOL last night,I'm secretly hungover but that party was really fun last night,BOL,playful,ambiguous,False
You really thought that joke was fire but it ate af,You really thought that joke was good but it completely fell flat,ate af,sarcastic,edge,False
My birth chart is fire today,I am having a very good day astrologically,Birth Chart,hype,clear,False
I'm lowkey entering my Productivity Era,I am quietly becoming very productive and efficient,Productivity Era,affectionate,ambiguous,False
I'm lowkey excited for the UDM meeting tonight,I'm secretly excited for the User Data Management meeting tonight,UDM,annoyed,ambiguous,True
This take is KDFU and I'm living for it,This opinion is completely insane and I thoroughly enjoy it,KDFU,deadpan,ambiguous,False
I'm living my best soft launch life and I'm lowkey loving it,I'm quietly and casually dating someone and it's going great,Soft Launch Life,hype,ambiguous,False
Your post come alive when you dropped that fire verse,Your post became extremely exciting when you added that impressive verse,Come Alive,dramatic,edge,False
I just got a weird error code E123 on my router,I just got a weird error code E123 on my router,E123,chill,edge,True
I'm on a healing journey after binge-watching my ex's stories,I'm recovering after looking at my ex's social media posts,Healing Journey,deadpan,clear,False
Just watched the whole season and I'm still not over the BBN,I'm still not over the big brother naija reality show,BBN,deadpan,ambiguous,False
I had to code switch with my grandma on the phone,I had to change my language and behavior to fit in with my grandma,Code Switch,chill,edge,False
I'm dead TTTT after binge-watching that new series,I'm extremely tired after binge-watching that new series,TTTT,playful,ambiguous,False
You're lowkey fire AYOR,You're secretly amazing and always on my radar,AYOR,hype,clear,False
